variable,median,lower,upper,rhat,length,ess_bulk,ess_tail,Pl,Pg
b_Intercept,0.038,0,0.222,1.001,2400,2018.52561861778,2142.93669077956,1,0
b_TreatmentNoalgae,4.159,0.117,41.705,1.001,2400,2179.2285881465,2287.17286701749,0.09,0.91
b_TreatmentOnlycanopy,1.419,0,18.045,1.001,2400,2111.70963662463,2143.90412995407,0.407,0.593
b_TreatmentOnlymat,6.73,0.278,66.541,1.003,2400,2265.3028548618,2141.87092800831,0.025,0.975
b_Shannon_broad_cor,34.116,0.002,7371.721,1,2400,2076.5881000061,2232.81230596439,0.118,0.882
prior_Intercept,1.783,0,251.678,1.001,2400,1910.74608898073,2339.23197914185,0.422,0.578
prior_b,4.263,0,29837410.127,1.001,2400,2426.5479825042,2408.01098168357,0.445,0.555
lprior,0,0,0,1,2400,2156.96141959498,2325.26125783926,1,0
lp__,0,0,0,1,2400,2364.48996413555,2209.28098343515,1,0
